Oblast;Misto_odberu;;Group2;Group32;Jednotka;Group33;Hodnota;Počet_hodnot_OUT2;Počet_hodnot_IN3;Počet_hodnot3;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012312148;zákal;ZF(n);13.6.2023;0,5;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012312148;železo;mg/l;13.6.2023;0,04;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012312148;;;;;;;;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;barva;mg/l Pt;23.10.2023;3;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;Clostridium perfringens;KTJ (MPN)/100 ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;dusitany;mg/l;23.10.2023;0,014;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;Escherichia coli;KTJ (MPN)/100 ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;CHSK-Mn;mg/l;23.10.2023;0,3;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;chuť;Neurčená jednotka;23.10.2023;PRIJAT;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;intestinální enterokoky;KTJ (MPN)/100 ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;koliformní bakterie;KTJ (MPN)/100 ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;MO - abioseston;procenta;23.10.2023;1;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;MO - počet organismů;jedinci/ml;23.10.2023;0;0;1;1;;;;;
Adamov;Adamov, ÚV, přiváděcí řád upravené podzemní vody;;CI000001249012321614;MO - živé organismy;jedinci/ml;23.10.2023;0;0;1;1;;;;;
