Collection_point,Longitude,Latitude,District_name,Region_name
Žďár,15.0802147,50.5437074,Mladá Boleslav,Středočeský kraj
Letovice - Novičí,16.5965592,49.582628,Blansko,Jihomoravský kraj
Olešnice,15.4479641,50.1402816,Hradec Králové,Královéhradecký kraj
Olešnice na Moravě,16.416696190359716,49.565807750000005,Blansko,Jihomoravský kraj
Oslnovice,15.6873987,48.9320871,Znojmo,Jihomoravský kraj
Ostopovice,16.5460487,49.1610664,Brno-město,Jihomoravský kraj
Moravská Nová Ves,17.0137087,48.8030427,Břeclav,Jihomoravský kraj
Kuřimská Nová Ves,16.2969704,49.3457648,Brno-venkov,Jihomoravský kraj
Přeskače,16.106898,49.0124296,Znojmo,Jihomoravský kraj
Lesní Hluboké,16.3063419,49.2687764,Brno-venkov,Jihomoravský kraj
Rájec-Jestřebí,16.6270226,49.409145,Blansko,Jihomoravský kraj
Rašov,16.4537251,49.4155452,Brno-venkov,Jihomoravský kraj
Rohozec,16.4828464,49.390315,Brno-venkov,Jihomoravský kraj
Rozseč nad Kunštátem,16.4629625,49.5244186,Blansko,Jihomoravský kraj
Sulíkov,16.4896109,49.5445918,Blansko,Jihomoravský kraj
Říčany,16.3933259,49.2151397,Brno-venkov,Jihomoravský kraj
Sebranice u Boskovic,16.572155482991242,49.496207299999995,Blansko,Jihomoravský kraj
Skalice,15.8720291,50.2763716,Hradec Králové,Královéhradecký kraj
Skalice nad Svitavou,16.6073215,49.480837,Blansko,Jihomoravský kraj
Skrchov,16.5493588,49.5777308,Blansko,Jihomoravský kraj
Břeclav,16.8813137,48.7594008,Břeclav,Jihomoravský kraj
Brod nad Dyjí,16.5353783,48.875209,Břeclav,Jihomoravský kraj
Lednice,16.8039515,48.8001413,Břeclav,Jihomoravský kraj
Cvrčovice,16.5144768,48.9936682,Brno-venkov,Jihomoravský kraj
Nová Ves,16.3108395,49.1081117,Brno-venkov,Jihomoravský kraj
Tučapy,14.8034141,49.291288,Tábor,Jihočeský kraj
Zaječí,16.7668189,48.8731686,Břeclav,Jihomoravský kraj
Slatina u Jevišovic,16.0231310468222,49.016511449999996,Znojmo,Jihomoravský kraj
Sloup v Moravském krasu,16.741073871502724,49.4266671,Blansko,Jihomoravský kraj
Stošíkovice na Louce,16.2148722,48.8965883,Znojmo,Jihomoravský kraj
Strachotice,16.1722533,48.7962155,Znojmo,Jihomoravský kraj
Strhaře - Žleby,16.4321926,49.4468988,Brno-venkov,Jihomoravský kraj
Stvolová - Skřib,16.5441063,49.5896511,Blansko,Jihomoravský kraj
Stvolová - Vlkov,16.5302167,49.5848673,Blansko,Jihomoravský kraj
Ivančice,16.3776051,49.1015881,Brno-venkov,Jihomoravský kraj
Moravské Bránice,16.4362839,49.0832736,Brno-venkov,Jihomoravský kraj
Rosice,16.3878251,49.1825874,Brno-venkov,Jihomoravský kraj
Zastávka,16.365508,49.1885443,Brno-venkov,Jihomoravský kraj
Zbraslav,16.2938559,49.221003,Brno-venkov,Jihomoravský kraj
Jinačovice,16.5294859,49.2678029,Brno-venkov,Jihomoravský kraj
Lažánky,16.3880626,49.2789457,Brno-venkov,Jihomoravský kraj
Lomnice,16.413603,49.404466,Brno-venkov,Jihomoravský kraj
Mokrá,19.2633011,48.1536496,,
Střelice,13.1350826,49.630638,Plzeň-jih,Plzeňský kraj
Čebín,16.4777695,49.3131006,Brno-venkov,Jihomoravský kraj
Lomnička,16.4305208,49.3670315,Brno-venkov,Jihomoravský kraj
Tišnov,16.4244906,49.348838,Brno-venkov,Jihomoravský kraj
Světlá,16.7180937,49.5656665,Blansko,Jihomoravský kraj
Svitávka,16.5979316,49.5017765,Blansko,Jihomoravský kraj
Syrovice,16.5460683,49.0799072,Brno-venkov,Jihomoravský kraj
Sobotovice,16.5567924,49.0600835,Brno-venkov,Jihomoravský kraj
Štěchov,16.5050738,49.4528909,Blansko,Jihomoravský kraj
Tasovice,16.1555848,48.8360958,Znojmo,Jihomoravský kraj
Těmice,15.0604455,49.3517933,Pelhřimov,Kraj Vysočina
Těšetice,16.1582019,48.8888441,Znojmo,Jihomoravský kraj
