id_point,Collection_point,Longitude,Latitude,ID_district
136,Světlá,16.7180937,49.5656665,1
137,Svitávka,16.5979316,49.5017765,1
138,Syrovice,16.5460683,49.0799072,3
139,Sobotovice,16.5567924,49.0600835,3
140,Štěchov,16.5050738,49.4528909,1
141,Tasovice,16.1555848,48.8360958,7
142,Těmice,17.264921,49.001563,5
143,Těšetice,16.1582019,48.8888441,7
144,Kunštát - Touboř,16.4952839,49.4928701,1
145,Trstěnice,16.195424,48.986799,7
146,Tvořihráz,16.1357753,48.9175487,7
147,Uhřice,16.735005,49.5950652,1
148,Újezd u Boskovic,16.6541632,49.4638989,1
149,Unín,16.49508940790433,49.3854534,3
150,Úsobrno,16.7628827,49.5889245,1
151,Valchov,16.719709,49.4702817,1
152,Valtrovice,16.2210549,48.7936504,7
153,Vedrovice,16.3770785,49.0202855,7
154,Veselí u Lomnice,16.3888267,49.4042295,3
155,Veverské Knínice,16.4018268,49.2368966,3
156,Višňové,16.15026,48.982454,7
157,Hroznová Lhota,17.4169732,48.9078412,5
158,Kněždub,17.3954635,48.8866619,5
159,Heršpice,16.9135619,49.1197695,6
160,Ježkovice na Moravě,16.88574405330824,49.30635445,6
161,Orlovice,17.0936678,49.2392192,6
162,Pravlov,16.4876812,49.0556789,3
163,Radostice,16.4770079,49.1336068,3
164,Silůvky,16.4679353,49.1059745,3
165,Snovídky,17.1065438,49.1325405,6
166,Studnice,16.881052,49.375615,6
167,Suchov,17.5634524,48.9074227,5
168,Vohančice,16.3938553,49.3215917,3
169,Štítary,15.8442861,48.9351007,7
170,Vrbovec,16.10061,48.799819,7
171,Zhoř u Rohozce,16.478145010969392,49.418171,3
172,Znojmo,16.0489457,48.8554341,7
173,Žernovník,16.5455472,49.4071517,1
174,Žerotice,16.1687444,48.92671,7
175,Žerůtky,15.9630924,48.9059037,7
